plugin,kind,name,path,source,description_bytes,body_words,body_bytes,tools_bytes,claude_implicit,codex_implicit
core,skill,auth-md,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/auth-md/SKILL.md,authored,431,1629,12744,0,True,True
core,skill,check-version,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/check-version/SKILL.md,authored,497,216,1380,0,True,True
core,skill,codex-agent-setup,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/codex-agent-setup/SKILL.md,authored,241,832,6243,0,False,False
core,skill,confess,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/confess/SKILL.md,authored,332,686,4424,0,True,True
core,skill,front-desk,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/front-desk/SKILL.md,authored,431,978,6631,0,True,True
core,skill,hammertime,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/hammertime/SKILL.md,authored,376,2055,14428,0,True,True
core,skill,hook-manager,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/hook-manager/SKILL.md,authored,238,686,4886,0,True,True
core,skill,humanize,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/humanize/SKILL.md,authored,522,1441,10147,0,True,True
core,skill,linear-planning,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/linear-planning/SKILL.md,authored,427,1057,7322,0,True,True
core,skill,reinforce-skills,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/reinforce-skills/SKILL.md,authored,315,1063,7911,0,True,True
core,skill,remind,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/remind/SKILL.md,authored,332,585,3985,0,True,True
core,skill,runtime-context,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/runtime-context/SKILL.md,authored,469,533,3520,0,True,True
core,skill,setup,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/setup/SKILL.md,authored,344,1242,8849,0,True,True
core,skill,visual-wayfinder,/Users/satchmo/code/worktrees/prompts-factory-worker/skills/visual-wayfinder/SKILL.md,authored,245,1145,8063,0,True,True
core,agent,community-manager,/Users/satchmo/code/worktrees/prompts-factory-worker/agents/community-manager.md,authored,370,1216,8581,95,,
core,agent,front-desk,/Users/satchmo/code/worktrees/prompts-factory-worker/agents/front-desk.md,authored,428,1797,12233,89,,
core,agent,project-manager,/Users/satchmo/code/worktrees/prompts-factory-worker/agents/project-manager.md,authored,423,1655,13028,85,,
core,command,/bug-hunt,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/bug-hunt.md,authored,120,999,6632,0,,
core,command,/diagnose,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/diagnose.md,authored,71,631,4256,0,,
core,command,/factory-init,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/factory-init.md,authored,149,825,5994,0,,
core,command,/hammertime:manage,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/hammertime/manage.md,authored,101,753,4955,0,,
core,command,/hammertime:start,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/hammertime/start.md,authored,69,78,588,0,,
core,command,/hammertime:status,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/hammertime/status.md,authored,66,26,214,0,,
core,command,/hammertime:stop,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/hammertime/stop.md,authored,80,90,660,0,,
core,command,hammertime,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/hammertime.md,authored,179,989,6844,0,,
core,command,/impact,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/impact.md,authored,99,651,4166,0,,
core,command,/prime,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/prime.md,authored,99,334,2188,0,,
core,command,/question,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/question.md,authored,86,91,555,0,,
core,command,/review-wave,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/review-wave.md,authored,93,821,5610,0,,
core,command,/utils:context,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/utils/context.md,authored,71,179,1234,0,,
core,command,/visual-review,/Users/satchmo/code/worktrees/prompts-factory-worker/commands/visual-review.md,authored,121,146,887,0,,
brand-rep,agent,account-manager,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/brand-rep/agents/account-manager.md,authored,363,167,1066,89,,
brand-rep,agent,social-media-manager,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/brand-rep/agents/social-media-manager.md,authored,350,1014,6500,57,,
creative,skill,cli-demo-gif,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/creative/skills/cli-demo-gif/SKILL.md,authored,291,289,1720,0,True,True
creative,skill,design-game-ui,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/creative/skills/design-game-ui/SKILL.md,authored,291,1328,10049,0,True,True
