plugin,kind,path,bytes
core,manifest,.claude-plugin/plugin.json,488
core,manifest,.codex-plugin/plugin.json,1098
core,manifest,.grok-plugin/plugin.json,481
core,adapter,codex/agents/bopen-account-manager.toml,3331
core,adapter,codex/agents/bopen-agent-builder.toml,82646
core,adapter,codex/agents/bopen-architecture-reviewer.toml,10800
core,adapter,codex/agents/bopen-audio-specialist.toml,19705
core,adapter,codex/agents/bopen-cartographer.toml,27298
core,adapter,codex/agents/bopen-code-auditor.toml,22761
core,adapter,codex/agents/bopen-community-manager.toml,10855
core,adapter,codex/agents/bopen-consolidator.toml,9067
core,adapter,codex/agents/bopen-creative-developer.toml,14968
core,adapter,codex/agents/bopen-data.toml,20331
core,adapter,codex/agents/bopen-database.toml,28271
core,adapter,codex/agents/bopen-designer.toml,35845
core,adapter,codex/agents/bopen-devops.toml,25526
core,adapter,codex/agents/bopen-documentation-writer.toml,7857
core,adapter,codex/agents/bopen-executive-assistant.toml,9769
core,adapter,codex/agents/bopen-front-desk.toml,14666
core,adapter,codex/agents/bopen-integration-expert.toml,20148
core,adapter,codex/agents/bopen-mcp.toml,117553
core,adapter,codex/agents/bopen-mobile.toml,12682
core,adapter,codex/agents/bopen-native-desktop.toml,12373
core,adapter,codex/agents/bopen-nextjs.toml,41769
core,adapter,codex/agents/bopen-optimizer.toml,16395
core,adapter,codex/agents/bopen-payments.toml,12086
core,adapter,codex/agents/bopen-project-manager.toml,15375
core,adapter,codex/agents/bopen-prompt-engineer.toml,67871
core,adapter,codex/agents/bopen-researcher.toml,21427
core,adapter,codex/agents/bopen-security-ops.toml,23621
core,adapter,codex/agents/bopen-social-media-manager.toml,8766
core,adapter,codex/agents/bopen-tester.toml,13487
core,adapter,codex/agents/bopen-trainer.toml,12759
core,manifest,codex/agents/manifest.json,14949
core,eval,evals/negative-out-of-catalog/graders/expected-agent.md,54
core,eval,evals/negative-out-of-catalog/prompt.md,324
core,eval,evals/negative-plain-question/graders/expected-agent.md,54
core,eval,evals/negative-plain-question/prompt.md,314
core,eval,evals/skill-check-version/graders/expected-skill.md,73
core,eval,evals/skill-check-version/prompt.md,383
core,eval,evals/skill-confess/graders/expected-skill.md,67
core,eval,evals/skill-confess/prompt.md,352
core,eval,evals/skill-hammertime/graders/expected-skill.md,70
core,eval,evals/skill-hammertime/prompt.md,371
core,eval,evals/skill-humanize/graders/expected-skill.md,68
core,eval,evals/skill-humanize/prompt.md,351
core,eval,evals/skill-neg-arith/graders/expected-skill.md,54
core,eval,evals/skill-neg-arith/prompt.md,321
core,eval,evals/skill-neg-rename/graders/expected-skill.md,54
core,eval,evals/skill-neg-rename/prompt.md,344
core,eval,evals/skill-remind/graders/expected-skill.md,66
core,eval,evals/skill-remind/prompt.md,381
core,hook,hooks/agent-browser-solo.sh,6017
core,hook,hooks/bouncer.sh,5754
core,hook,hooks/browser-intent.sh,3490
core,hook,hooks/claude-hooks.json,4785
core,hook,hooks/codex-hooks.json,3196
core,hook,hooks/damage-control.sh,14443
core,hook,hooks/hammertime.py,45041
core,hook,hooks/hooks.json,4477
core,hook,hooks/lib/common.sh,8529
core,hook,hooks/manifest.json,8433
